"id","backdrop_path","first_air_date","genre_ids","idDb","name","origin_country","original_language","original_name","overview","popularity","poster_path","vote_average","vote_count","nbr_seasons","nbr_episodes","page"
289,"/aWnEtYJn31swY2pC8cOtje98bYc.jpg","2016-11-04","[18]",65494,"The Crown","[""GB"",""US""]","en","The Crown","Cette série dramatique retrace les rivalités politiques, intrigues et événements qui ont marqué le règne de la reine Élisabeth II et la seconde moitié du XXe siècle.",392.017,"/snrhOM9JOY3i7UGNDZBfBakiq4n.jpg",8.2,1825,6,60,12
290,"/7TNIH7x3l3jSQfOZEW9F0kJrT7M.jpg","1968-09-20","[10759,10765]",11978,"The Name of the Game","[""US""]","en","The Name of the Game","",391.241,"/tc5VyBM94h8GJ3Z5MvyemSFiESO.jpg",7.2,9,3,76,12
291,"/evJaCkNlgUt55dcOaAJqxD90FWs.jpg","2013-09-23","[35,18]",49011,"Mom","[""US""]","en","Mom","Christy, une mère de famille célibataire, tout juste sortie de cure de désintoxication, doit remettre de l'ordre dans sa vie. Mais sa mère, Bonnie, une alcoolique notoire avec qui elle n'a plus eu de contact depuis plusieurs années, refait surface et lui complique infiniment la tâche. Lorsque ses enfants et son boss s'y mettent à leur tour, rien ne va plus pour Christy... à nouveau !",389.064,"/8jR5i2z51ymZMrehUgVHFlXUVcB.jpg",7.3,520,8,170,12
292,"/jFg7lMtkttNNme3cSTyj2BgerQX.jpg","2000-10-05","[35,18]",4586,"Gilmore Girls","[""US""]","en","Gilmore Girls","La série raconte la relation complice et même privilégiée de Lorelai avec sa fille Rory qu'elle eut à 16 ans. Entre leurs histoires d'amour respectives et les relations avec les grands-parents de Rory ou les personnages secondaires rencontrés au travail de Lorelai ou au lycée d'élite de Rory dans la petite ville de Stars Hollow, Lorelai et Rory n'ont pas le temps de s'ennuyer.",385.471,"/mjDOpFxusZb05umOQJbYRq8J4Vi.jpg",7.9,861,7,153,12
293,"/mqnyFBK7RMZaGhD6gVHspoUYK6I.jpg","2021-02-08","[35,18,10751]",119316,"वागले की दुनिया","[""IN""]","hi","वागले की दुनिया","",385.178,"/jKonm6Q3vw51Ytd4y7bJ70xJT7l.jpg",7.8,12,1,832,12
294,"/gpJZiTvklr5JN0mzpQwl99peQD7.jpg","1966-01-12","[10765,35,10759]",2287,"Batman","[""US""]","en","Batman","Riche et puissant, Bruce Wayne enfile son costume et devient Batman, justicier de Gotham City. Aidé par le fidèle Robin, il aide la police à traquer les criminels et à défendre les innocents.",385.161,"/sXQjd5YxjqJmSvR250d1G9C2Igf.jpg",7.4,478,3,120,12
295,"/2IjkAmxhg4p29rcrp7xSrfKGzyo.jpg","1996-09-27","[35,10751,10765,10762]",605,"Sabrina, l'apprentie sorcière","[""US""]","en","Sabrina, the Teenage Witch","À 16 ans, Sabrina se découvre des pouvoirs de sorcière. Guidée par ses tantes, son apprentisage de la magie commence. Mais sa vie va s'en trouver bouleversée...",384.791,"/lJSnXeLh4ud49YuoVoSJR4mWeCG.jpg",7.9,981,7,163,12
296,"/8MQeyFsWrp2ILjbumtxrinmk7t4.jpg","2006-07-18","[10765,35,18]",4620,"Eureka","[""US""]","en","Eureka","Jack Carter, un marshall américain, découvre, au cours d'une escapade avec sa fille Zoe, l'existence d'Eureka, un complexe top-secret abritant des scientifiques et leur famille dans le but de les faire travailler sur des projets confidentiels. Mis au pied du mur et fasciné par cette ambitieuse entreprise, il accepte d'en devenir le shérif. Mais il est rapidement confronté à des événements et à des phénomènes qui dépassent son entendement.",384.077,"/gBQXWLPRG9j8851z8qCPmoVdmAp.jpg",7.8,551,5,77,12
297,"/qMFJgJrrSArM69NXLAPiWx7JCa1.jpg","1950-01-30","[18]",14944,"Robert Montgomery Presents","[""US""]","en","Robert Montgomery Presents","",383.437,"/jZLS9pS4JGltYIB43c2UvXhqZqW.jpg",4.7,3,8,318,12
298,"/gjRlgufdujnOXSnQx4djAIFBQvB.jpg","2009-02-02","[10764]",8514,"RuPaul's Drag Race","[""US""]","en","RuPaul's Drag Race","Ces reines rivalisent pour décrocher la couronne et remporter les 100 000 $ mis en jeu dans cette série primée aux Emmys et animée par RuPaul.",382.746,"/rM31D4ecYfpqUZ6s0o6yoxwK5UG.jpg",7.7,198,15,207,12
