"id","movie_Id","air_date","nbr_episodes","name","poster_path","vote_average"
1104,1413,"2023-09-20",7,"Delicate","/oWM1BXtiwLkwUqvu2flQvXrFZIs.jpg",9.4
1105,4177,"1985-02-23",40,"Épisodes spéciaux","/th4d0TYzk6Ww8gF8Tvgg6MHYo9m.jpg",0
1106,4177,"1957-09-21",39,"Saison 1","/bBwEPS1UHw9xeobvkafRQfhQwqG.jpg",9.8
1107,4177,"1958-09-20",30,"Saison 2","/yBGCgKDKPce4tnvkl73aIgmaOJY.jpg",8.7
1108,4177,"1959-10-03",26,"Saison 3","/7coFgiCoeBDNCV3TEFbXATjc6mj.jpg",7.6
1109,4177,"1960-09-17",28,"Saison 4","/t6bAyC8s8fWjQdzKQD9k1GVoTg5.jpg",8
1110,4177,"1961-09-02",30,"Saison 5","/tfbOfcvnjc2qXfOyH8f3J3Iy4FB.jpg",0
1111,4177,"1962-09-27",28,"Saison 6","/mHzPPnIvih9mVwkVz7E6QMU7Y77.jpg",2
1112,4177,"1963-09-26",30,"Saison 7","/9YU7Kbbl5PBZYiL6MX7pLLJdp0R.jpg",0
1113,4177,"1964-09-24",30,"Saison 8","/fRXtMaxuDOmNFjHPJVK0X3BgJB.jpg",0.5
1114,4177,"1965-09-12",30,"Saison 9","/8BfZObRHoRcdjSIiYmcSRitUHyv.jpg",8
1115,14981,"2005-01-03",141,"Saison 1","null",8
1116,14981,"2005-09-12",205,"Saison 2","null",0
1117,14981,"2006-09-11",207,"Saison 3","null",9
1118,14981,"2007-09-10",171,"Saison 4","null",7.5
1119,14981,"2008-09-01",210,"Saison 5","null",7.5
1120,14981,"2009-08-31",210,"Saison 6","null",7.5
1121,14981,"2010-08-30",210,"Saison 7","null",7.9
1122,14981,"2011-08-22",210,"Saison 8","null",7.4
1123,14981,"2012-08-27",210,"Saison 9","null",7.8
1124,14981,"2013-09-02",210,"Saison 10","null",7.6
1125,14981,"2014-09-01",73,"Saison 11","null",7.8
1126,655,"2012-07-24",137,"Épisodes spéciaux","/eg2cYEp74IyWM6gDC6y7g3dDbu.jpg",0
1127,655,"1987-09-28",25,"Saison 1","/tMpOTMaVKgeFI30y9uLwL3iNrB0.jpg",6.5
1128,655,"1988-11-21",22,"Saison 2","/9jcQQS7MR2fQ7WiSvg1VOXOLtLX.jpg",6.6
1129,655,"1989-09-25",26,"Saison 3","/uhk10j9FQtEn0ropXuanJCzgq94.jpg",7
1130,655,"1990-09-24",26,"Saison 4","/icWxooSV0M9PrrD3RwENkcO9650.jpg",7
1131,655,"1991-09-23",26,"Saison 5","/zNPlOaQwIuYgUseUV6eVNRd7fO7.jpg",7
1132,655,"1992-09-21",26,"Saison 6","/fJxtWtsBF93ynb7rbklUg4y4tkS.jpg",7.1
